query_id,query_text,query_category,bge_precision_at_1,bge_precision_at_5,bge_precision_at_10,bge_mrr,bge_average_precision,bge_search_time,bge_num_results,tfidf_precision_at_1,tfidf_precision_at_5,tfidf_precision_at_10,tfidf_mrr,tfidf_average_precision,tfidf_search_time,tfidf_num_results
legal_01,real decreto impuestos sociedades,legal_general,0.0,0.2,0.1,0.0,0.0125,10.278332710266113,20,0.0,0.0,0.0,0.0,0.0,12.031866550445557,20
legal_02,ley orgánica educación universitaria,legal_general,1.0,0.8,0.7,0.0,0.37603604363472787,0.5326383113861084,20,0.0,0.2,0.1,0.0,0.026041666666666668,6.160371780395508,20
legal_03,disposiciones generales tributarias,legal_general,0.0,0.0,0.1,0.0,0.015476190476190477,0.4919774532318115,20,0.0,0.0,0.0,0.0,0.0,4.913674354553223,20
legal_04,orden ministerial funcionarios públicos,legal_general,0.0,0.0,0.0,0.0,0.0,0.5448222160339355,20,0.0,0.0,0.0,0.0,0.0,4.721169471740723,20
legal_05,resolución dirección general tráfico,legal_general,0.0,0.0,0.1,0.0,0.005,0.4074819087982178,20,0.0,0.4,0.5,0.0,0.3222645573380868,4.920974493026733,20
legal_06,normativa contratación pública sector,legal_general,1.0,0.8,0.5,0.0,0.29441510244141816,0.3906567096710205,20,0.0,0.6,0.5,0.0,0.16037280701754386,5.733868360519409,20
legal_07,reglamento procedimiento administrativo común,legal_general,1.0,0.8,0.7,0.0,0.42083041549953315,0.5645582675933838,20,0.0,0.0,0.0,0.0,0.0,5.6692259311676025,20
legal_08,ley protección datos personales,legal_general,1.0,0.8,0.9,0.0,0.6223969780219781,0.5450005531311035,20,0.0,0.8,0.9,0.0,0.8201130171428159,7.8929362297058105,20
legal_09,decreto regulación actividades económicas,legal_general,0.0,0.0,0.0,0.0,0.0,0.7277493476867676,20,0.0,0.0,0.0,0.0,0.0,5.3562586307525635,20
legal_10,ordenanza municipal régimen jurídico,legal_general,0.0,0.0,0.0,0.0,0.0,0.47797107696533203,20,0.0,0.0,0.0,0.0,0.0,4.677562475204468,20
legal_11,instrucción técnica complementaria seguridad,legal_general,1.0,0.2,0.1,0.0,0.05,0.44638872146606445,20,0.0,0.4,0.2,0.0,0.03666666666666667,4.686467170715332,20
legal_12,circular interpretativa normativa fiscal,legal_general,0.0,0.0,0.0,0.0,0.0,0.3014488220214844,20,0.0,0.0,0.0,0.0,0.0,4.640310764312744,20
legal_13,protocolo actuación servicios sociales,legal_general,0.0,0.2,0.2,0.0,0.025,0.4001784324645996,20,0.0,0.0,0.0,0.0,0.0,4.330684661865234,20
legal_14,directiva europea transposición nacional,legal_general,0.0,0.4,0.6,0.0,0.2663332964764853,0.3264334201812744,20,0.0,0.2,0.2,0.0,0.0375,4.507780075073242,20
legal_15,acuerdo consejo ministros competencias,legal_general,0.0,0.0,0.0,0.0,0.0,0.3977196216583252,20,0.0,0.0,0.1,0.0,0.00625,4.773277997970581,20
legal_16,norma técnica homologación productos,legal_general,0.0,0.0,0.0,0.0,0.0,0.36075830459594727,20,0.0,0.0,0.0,0.0,0.0,4.508397579193115,20
legal_17,régimen especial zona franca,legal_general,0.0,0.0,0.0,0.0,0.0,0.4415547847747803,20,1.0,0.2,0.1,0.0,0.055263157894736833,4.606425046920776,20
legal_18,estatuto trabajadores reforma laboral,legal_general,0.0,0.0,0.0,0.0,0.003125,0.40788793563842773,20,0.0,0.0,0.0,0.0,0.0,5.128279209136963,20
legal_19,código penal modificación artículos,legal_general,0.0,0.0,0.0,0.0,0.0,0.4609029293060303,20,1.0,0.6,0.3,0.0,0.11333333333333333,4.646850109100342,20
